address,latitude,longitude
,,
,35.249419571181875,129.0934537973655
,35.2147927158238,129.12284284650733
,35.132880100475695,129.0638771927796
,35.22052462297356,128.9817061678509
,35.220708386513905,128.98630029793247
,35.1451163694562,128.98089193280248
,35.181166192257656,128.94795858722517
,35.17875288464469,128.94908277546796
,35.16998689376834,128.9490528949691
,35.172557243279954,128.9447258319164
,35.181926665710584,128.93031008694544
,35.19529953522322,128.94406412701923
,35.21455582569688,128.941577712428
,35.21049503774506,128.9384599678259
,35.15013957348934,128.8658671679768
,35.142567791115006,128.88437611284377
,35.1383449229978,128.87497855103766
,35.15210504116796,128.82665712510692
,35.15278831834226,128.81644719795298
,35.101856103095734,128.87301288429916
,35.106756008403096,128.8772963322338
,35.0866937955286,128.8682950244388
,35.08667227507147,128.86059891407044
,35.09392727525659,128.87027822836873
